日期欄,開盤價,最高價,最低價,收盤價,成交量
"112/12/29","589.00","593.00","589.00","593.00","18,323"
"112/12/28","592.00","593.00","589.00","593.00","26,368"
"112/12/27","587.00","592.00","586.00","592.00","33,259"
"112/12/26","583.00","586.00","582.00","586.00","17,033"
"112/12/25","582.00","585.00","580.00","581.00","9,923"
"112/12/22","582.00","582.00","579.00","582.00","19,035"
"112/12/21","577.00","579.00","575.00","577.00","25,766"
"112/12/20","587.00","587.00","583.00","585.00","38,458"
"112/12/19","588.00","588.00","580.00","585.00","28,905"
"112/12/18","579.00","585.00","577.00","585.00","26,700"
"112/12/15","585.00","586.00","580.00","585.00","55,592"
"112/12/14","581.00","582.00","579.00","582.00","40,462"
"112/12/13","576.00","579.00","576.00","577.00","23,302"
"112/12/12","580.00","581.00","575.00","578.00","29,911"
"112/12/11","572.00","575.00","570.00","574.00","27,694"
"112/12/08","574.00","577.00","570.00","570.00","34,104"
"112/12/07","570.00","573.00","566.00","566.00","21,519"
"112/12/06","568.00","575.00","568.00","570.00","21,765"
"112/12/05","571.00","572.00","567.00","570.00","22,869"
"112/12/04","582.00","582.00","571.00","574.00","27,271"
"112/12/01","573.00","579.00","573.00","579.00","28,002"
