日期_,開盤價,最高價,最低價,收盤價,成交量
113/06/07,885,888,879,879,"43,094"
113/06/06,893,899,885,894,"62,647"
113/06/05,841,857,835,854,"32,768"
113/06/04,844,851,837,839,"29,430"
113/06/03,839,853,837,846,"29,182"
113/05/31,838,846,821,821,"80,216"
113/05/30,841,848,838,838,"40,994"
113/05/29,861,868,856,857,"35,031"
113/05/28,867,873,865,865,"26,205"
113/05/27,872,878,866,869,"27,735"
113/05/24,858,872,858,867,"35,148"
113/05/23,875,877,867,875,"38,436"
113/05/22,845,865,843,864,"36,470"
113/05/21,830,841,830,841,"20,063"
113/05/20,834,838,822,835,"29,576"
113/05/17,848,848,834,835,"27,002"
113/05/16,852,856,837,841,"45,296"
113/05/15,838,844,837,839,"41,152"
113/05/14,816,825,811,825,"29,606"
113/05/13,823,825,818,819,"34,697"
