日期_,開盤價,最高價,最低價,收盤價,成交量
113/06/07,278,280,271,273,"26,483"
113/06/06,284,285,278,279.5,"18,790"
113/06/05,278,281,274.5,276.5,"14,810"
113/06/04,283,284.5,273,275,"27,723"
113/06/03,279,288.5,278,282.5,"28,299"
113/05/31,281.5,282.5,274,274,"37,477"
113/05/30,286,287,281,281.5,"18,805"
113/05/29,290.5,297,287,287,"30,632"
113/05/28,293.5,294,288,289.5,"28,313"
113/05/27,290,295,288,293.5,"40,649"
113/05/24,283,289,282.5,286.5,"21,741"
113/05/23,287,293,282.5,284,"29,979"
113/05/22,282.5,286,280,285.5,"21,742"
113/05/21,282.5,286.5,280.5,282,"18,882"
113/05/20,287.5,287.5,279.5,282,"24,611"
113/05/17,279.5,289,279.5,286,"47,020"
113/05/16,290.5,292,276.5,277,"82,036"
113/05/15,288,295,285.5,287,"63,171"
113/05/14,275,290.5,272,288.5,"47,211"
113/05/13,272,276,269.5,274.5,"19,723"
