日期,收市,開市,高,低,成交量,升跌(%)
2024-6-6,"1,210.36","1,240.00","1,255.59","1,183.80",63.53M,-1.15%
2024-6-5,"1,224.40","1,183.71","1,224.40","1,174.68",51.01M,+5.16%
2024-6-4,"1,164.37","1,157.16","1,166.00","1,140.45",40.33M,+1.25%
2024-6-3,"1,150.00","1,136.21","1,150.00","1,120.03",43.84M,+4.90%
2024-5-31,"1,096.33","1,125.20","1,127.17","1,069.40",61.33M,-0.78%
2024-5-30,"1,105.00","1,146.50","1,158.19","1,096.63",48.74M,-3.77%
2024-5-29,"1,148.25","1,130.50","1,154.92","1,109.01",55.74M,+0.81%
2024-5-28,"1,139.01","1,102.44","1,149.39","1,098.83",65.27M,+6.98%
2024-5-24,"1,064.69","1,044.49","1,064.75","1,030.00",42.95M,+2.57%
2024-5-23,"1,037.99","1,020.28","1,063.20","1,015.20",83.51M,+9.32%
2024-5-22,949.50,954.59,960.20,932.49,54.86M,-0.46%
2024-5-21,953.86,935.99,954.00,931.80,32.89M,+0.64%
2024-5-20,947.80,937.50,952.00,934.40,31.88M,+2.49%
2024-5-17,924.79,943.69,947.40,918.06,35.97M,-1.99%
2024-5-16,943.59,949.10,958.19,941.03,32.40M,-0.29%
2024-5-15,946.30,924.72,948.62,915.99,41.77M,+3.58%
2024-5-14,913.56,895.99,916.51,889.34,29.65M,+1.06%
2024-5-13,903.99,904.78,909.98,885.29,28.97M,+0.58%
2024-5-10,898.78,903.04,914.01,892.27,33.53M,+1.27%
2024-5-9,887.47,905.29,910.72,882.31,37.80M,-1.84%
2024-5-8,904.12,894.83,911.94,894.20,32.57M,-0.16%
2024-5-7,905.54,910.98,917.81,890.11,43.73M,-1.72%
